date,user,tweet
30-Mar,Kamal Khera,"At our Budget Breakfast this morning, #Brampton community leaders and business owners told us how the gender-focused measures introduced in #Budget2018 will get more women into the workforce; creating #jobs and significant #growth for our economy. #CdnPolipic.twitter.com/GrNnX0V2ea"
30-Mar,McKinsey & Company,"According to McKinsey’s newest survey on #economic #conditions, developed economies report a much more guarded outlook on their own #economies, the world economy as a whole, and their #trade prospects, relative to their peers in #emerging economies. http://bit.ly/2Ja9u7M pic.twitter.com/M8ae7v6azf"
30-Mar,Reno Omokri,"Meanwhile, as President @MBuhari shits down the economy in Nigeria, @CyrilRamaphosa flies economy in @SouthAfrica. Are you still surprised that their economy is picking up while is going down? It is all about leadership! pic.twitter.com/ojGcErcLi3"
30-Mar,Achmat,#BDS is a powerful non-violent tool to fight injustice. The #ApartheidSA economy collapsed because of it. We pray it will work against israel. #FreePalestine #BDS
30-Mar,Bruce Barry,Breaking: Witless opportunist who doesn't live or work in Nashville declares state economy risks calamity unless state's largest city makes sure it does nothing to improve transportation. http://ow.ly/mgp730jfciX
30-Mar,Jedediah Purdy,"Apple celebrates Trump tax bill by announcing ""contribution"" to US economy. It's almost as if, for all their social progressivism, the tech giants are quite at home with oligarche oblige. https://www.nytimes.com/2018/03/30/technology/silicon-valley-trump.html …"
30-Mar,Dezeen,Plastic furniture made from old toys introduces kids to the circular economy http://on.dezeen.com/U9Yu5a
30-Mar,Scarlet 💥 🔥,D @jessphoenix2018 #CA25 ...Congress bc she has a plan to improve lives &livelihoods for constituents in her district. Visit http://jess2018.com to learn more about her stance on •The Economy •The Environment •HC •Education •Gun violence prevention •Our veterans pic.twitter.com/gsiPqjF1Zx
30-Mar,Doug Bell,"With China's rapidly growing economy and the introduction of the Petroyuan, Washington's ruling elites can clearly envision the demise of the American Empire. America's heightened aggression is a clear sign of rising desperation."
30-Mar,Tony O'Quinn,"The US will have to buy oil, like every other country with a market economy, instead of invading sovereign nations to steal it."
30-Mar,__ Turkey NEWS 🇹🇷,"Nihat Zeybekci, Minister of Economy, said that “These traitors shouldn’t only be sentenced to capital punishment. We will treat them in such a way that they will beg us to kill them.” https://www.youtube.com/watch?v=0SysmcIFWB4&feature=youtu.be … #KosovoStopExtradition #Kosovo @hrw @UNHumanRights @aforgutu @amnesty"
30-Mar,FOX Business,".@cvpayne: ""March was a reminder that stocks don't go up in a straight line but I think they'll keep the pace with our growing economy and, I say, it would be a shame for any American not to have a piece of the action."" pic.twitter.com/ohCCJi7tUi"
30-Mar,Kim Driscoll,"200 years ago @easternbank was formed in Salem.Grateful they are still around,stronger than ever+committed to improving not only our economy, but the lives of people who live here. Big thanx to @rfrivers64 for leading this work+for speaking at the Salem Partnership Annual Meetingpic.twitter.com/J0Dokro8ZH"
30-Mar,Jennie Sherwood ❄️,"If I am elected to the Nevada State Assembly, this is the first thing I will work to start diversifying our economy. We need a trade college that is accessible to all Nevadans. https://twitter.com/wish2bjen/status/979847392697577472 …"
30-Mar,Red Nation Rising,Experts said Trump would lose in historic fashion (Huge win) Experts said Trump will start war with NoKo (Close to peace) Experts said tax cut will ruin economy (Record growth) Experts said Trump would be horrible for black community (lowest ever unemployment) #MAGA BABY!pic.twitter.com/iSAYson2nY
30-Mar,melinda wood,““No economy can grow to its full potential unless women and men participate fully” @KGeorgieva @WorldBankhttps://gu.com/p/8bez8/stw
30-Mar,Bridget Casey,"My child is going to subsidize YOU, not the other way around. You need her CPP, EI, and income taxes, plus productive work in the economy, far more than she needs your meager contribution to 5 years of daycare. https://twitter.com/technicalbard/status/979843374218792960 …"
30-Mar,Sam Charles,This story on how bachelorette parties are changing Nashville's economy is fascinating. https://www.buzzfeed.com/annehelenpetersen/how-nashville-became-one-big-bachelorette-party?utm_term=.cn1moRDEq#.byeXD5zKo …
30-Mar,The Economist,Wakanda's economy prospers in seclusion and autarky. How realistic is that? https://econ.st/2GmQchK
30-Mar,Mike Quindazzi ✨,"2018 global #economy? #PwC projects 4% growth in #GDP purchasing power parity (PPP) terms, fastest since 2011, adding $5T to global output. @MikeQuindazzi tags #emergingmarkets #megatrends #fintech #ecommerce #insurtech #payments #digitalbanking report https://pwc.to/2FBho8I pic.twitter.com/Jle5NLbeR1"
30-Mar,Desmond Dreckett - Small Biz Marketing Strategist,"In the new economy, information, education, and motivation are everything. #quote William J. Clinton"
30-Mar,DR GLASS,“It’s Time to Shift the Economy into Fourth Gear Capitalism with Basic Income” by @scottsantenshttps://medium.com/basic-income/its-time-to-shift-the-economy-into-fourth-gear-capitalism-with-basic-income-f13e0d6ec057 …
30-Mar,Sen. Maria Cantwell,Selling off @bonnevillepower’s transmission system and abandoning cost-based rates would raise electricity rates and throw sand in the gears of the Northwest economy. http://www.tri-cityherald.com/opinion/editorials/article207222734.html …
30-Mar,Will Deal,"These are people that can stay where they are, not come here. We cannot support everyone. The more we take in, the more our economy will struggle, and the more that our own poor will suffer. They need to fight for better in their own countries."
30-Mar,Simon Banks,"""Seven charts revealing the truth about wages and the Australian economy"" https://www.theage.com.au/politics/federal/seven-charts-revealing-the-truth-about-wages-and-the-australian-economy-20180328-p4z6na.html …"
30-Mar,Kristi Noem,It's time to go after that next big industry - much like Gov. Janklow did in the 1980s with financial services. It's time to kickstart South Dakota's economy. pic.twitter.com/qSJOs1RfMt
30-Mar,Jeremiah Owyang,"See how digital rolls out in phases --each era has come in about a decade time period. The 90s were the internet, followed by the layering of the P2P social media era, followed by the P2P collaborative economy. Humans dominant until 4th era. Feedback welcome pic.twitter.com/hwAM4o3q9f"
30-Mar,Rantt Media,"The audacity of the @RussianEmbassy Russia is acting really bold for a country hobbled by sanctions and an economy smaller than Italy When your country is failing, might as well resort to information warfare and poison attacks This trolling is a sign @PutinRF_Eng's weaknesshttps://twitter.com/RussianEmbassy/status/979674629169209345 …"
30-Mar,Geocaching,"Wilberforce, Ontario is reviving itself with #geocaching. Read @motherboard's article on how this small town is driving their economy: https://bit.ly/2pS2cgR pic.twitter.com/GVINMfNH0K"
30-Mar,Kimberly B-MAGA 🇺🇸 🐘 🚂 💨,"Mexican nationals living & working illegally in the US are a huge part of Mexico’s economy. They earn money here & send it back to their motherland. Millions of Mexicans work here, either under the table or they claim 10 deductions on their W-4s. No taxes."
30-Mar,Microsoft Analytics,AI’s sharing economy: Why @Microsoft creates publicly available datasets and metricshttp://ow.ly/27If30jf0MU
30-Mar,Scott Adams,"If abhorrent views get us to a denuclearized North Korea, a defeated ISIS, a strong economy, wage growth, and more jobs, history will have a clear opinion of who was on the right side. Being right often beats being politically correct."
30-Mar,Christiana Amarachi Mbakwe,I always use the bathroom in the first class cabin irrespective of if I’m in first class or not. Saw an old white man sitting in economy do it once and I realized that’s the kind of gumption and entitlement I need in my life.
30-Mar,Micheal O'Leary #FBPE,Every day I'm going to tweet 1 reason for staying in the EU. This could last longer than the UK membership. The figures from the DExEU say that there is *no* form of Brexit that does not damage the economy and cost jobs. The further from membership we move the worse it gets. pic.twitter.com/SxInZU0GMx
30-Mar,Old Pics Archive,"Late 1960s, Economy Class Seating on a Pan-Am 747 pic.twitter.com/eNkFqnQL0A"
30-Mar,TweetGuru,"Dear Mr. President, @CyrilRamaphosa Well done on getting on a economy class flight. Now try catching a train, Khayelitsha line Third class, In the morning. pic.twitter.com/BXKFN0dI6U"
30-Mar,Dan Siddons,"ECONOMY: ""There is just so much good data, it would take a lot to turn this economy down.""~.@lizpeekpic.twitter.com/S9FmmFFxw2"
30-Mar,MIT Tech Review,"While the gig economy is expanding in the US, worker benefits are not adapting to keep pace. https://trib.al/NnE3hLL"
30-Mar,YLMSportScience,Program Uphill Interval-Training Programs to improve Aerobic fitness Running economy Performance http://ow.ly/mmsd30jb4ec pic.twitter.com/A9mRONo8Qe
30-Mar,Mimi Methvin for Congress,"The resounding answer is NO! No regrets about Medicaid expansion. LA has seen a dramatic reduction in # of uninsured, preventive care and health screenings are saving lives, new jobs have been added to the economy, and overall costs have declined. https://www.brookings.edu/blog/usc-brookings-schaeffer-on-health-policy/2018/03/26/do-states-regret-expanding-medicaid/amp/?__twitter_impression=true …"
30-Mar,Representative Elizabeth Edwards,11) Participants in the economy who benefit from economic gains associated with increased productivity and labor mobility (criminal records make it harder to obtain and switch jobs)
30-Mar,Randy Boyd,On our 44th campaign day in Shelby County we had a great visit to @MooreTechMem. Special thanks to President Skip Redmond for the tour. Technical education is a key part of developing our TN workforce and growing the economy! pic.twitter.com/zIiprPIA5a
30-Mar,scottwilliamburrows,Trudeau and McKenna have no answers. They couldn't run a fruit stand under an apple tree. Real Canadians know these Liberals have hobbled our economy with their radical ideology so they'll use any excuse for tax revenue. Will enough of us wake up by 2019? VOTE THESE JERKS OUT! https://twitter.com/tigertorch/status/979807382279614464 …
30-Mar,China Xinhua News,"Higher tariffs on imports from China will harm U.S. producers, undermine rural economy, U.S. National Pork Producers Council says. In 2017, China was 2nd largest U.S. pork export market by volume http://xhne.ws/ZMO7v pic.twitter.com/dpXlY85Jfr"
30-Mar,The Economist,Mr Sisi will face two challenges in his second term: Islamic State and the economy https://econ.st/2GnoHEM
30-Mar,Nnamdi Obasi,"S/Africa Pres #Ramaphosa traveled to Durban economy class on Safair flight today 30 Mar; aide says he'll always use any mode of transport most practical, convenient and cost effective. Nigeria Pres #Buhari traveled to #Lagos yesterday 29 Mar…Megacity paid a huge price!pic.twitter.com/pRLw85k5B8"
30-Mar,The Wall Street Journal,"At least 15 Palestinians died in clashes with Israel's military during protests, against a backdrop of ​a devastated Gazan economy https://on.wsj.com/2J8gVw0"
30-Mar,Kamala Harris is a Cop,"Ongoing evidence that the phrase ""improving economy"" is completely meaningless, no matter who's running this failing country. https://twitter.com/washingtonpost/status/979799948551249923 …"
30-Mar,The Indian Express,"Ajay Bisaria said mutual relations between the two countries should be built on the basis of trade and economy, and violence and war should not be an option. http://bit.ly/2J9OrSO"
30-Mar,Mir Mohammad Alikhan,I want an open debate on Economy with @MiftahIsmail because the graphics and ROSY figures he has given on his FB are so far from reality that they are simply irritable. A live debate on TV channel of his choice. I will prove it all wrong with facts within no time. LETS DO IT.pic.twitter.com/atPLAVSS1c
30-Mar,Cybernetically Enhanced Abby Denton,Donkey Kong Country is a jeremiad of the tragedies that can ensue when you build your entire economy around an item of food that only lasts a matter of days.
30-Mar,Washington Post,"Analysis: The unhappy states of America: Despite an improving economy, Americans are glum https://wapo.st/2uGeTQT"
30-Mar,Follow_b__asap,Everybody is angry in this country! What kind of economy is this? In fact am leaving pic.twitter.com/DI98wR1bLP
30-Mar,The Indian Express,"#IEWorld Nepal’s economy is in a dismal shape and its coffers are almost empty, a government white paper has said. http://bit.ly/2J6zhNS"
30-Mar,Margaret Thatcher,"Let me give you my vision. A man's right to work as he will, to spend what he earns, to own property, to have the State as servant and not as master, these are the British inheritance. They are the essence of a free economy. And on that freedom all our other freedoms depend. pic.twitter.com/Z3Fdhfn255"
30-Mar,Fox News,".@RepGaramendi on @POTUS' infrastructure plan: ""We all know that if you can't move people, you can't move the economy."" #DailyBriefingpic.twitter.com/h0el8g6YMx"
30-Mar,Ottilia Anna M 🦁,"Flying economy doesn't make you ""down with the people""… the majority of the people are on the ground unable to afford safe public transport."
30-Mar,IOStoken,CEO @jimmyzhong_iost was live in Korea on Asian Economy TV - You can watch the full interview here! #IOST #IOSTokenhttps://youtu.be/4TP_MAXXvRo
30-Mar,Independent World Th,Dear Natives Zuma is very clear about issues of economy and economic power. That's why they hate him for opening the eyes of a black child. ECONOMIC POWER is the only thing that the Natives need to prosper https://twitter.com/Menelisi_N/status/979640430328451073 …
30-Mar,"love, emmy",Heterosexual??? in this economy??
30-Mar,GRIZZLE,Take the blinders off U retarded geezer &look around at the booming economy by those billionaires that still pay a majority of the taxes &R creating more jobs w/those tax breaks. Socialism is a train wreck &liberalism is a mental disorder. Seek help immediately U fossilized dork! https://twitter.com/sensanders/status/979739751027822592 …
30-Mar,Idris #NRAareTerrorists 🌊,When did Fabio become an expert on the economy? An expert on how far to unbutton your shirt for the perfect book cover - check. An expert on the perils of being injured by birds on amusement park rides - check. The economy? Not even close. https://twitter.com/FoxNews/status/979522233998692352 …
30-Mar,Juan Vargas,Thrilled to hear that my friend (and political economy rockstar) @pquerubo is now tenured at NYU
30-Mar,LSE Politics&Policy,"There are two types of precarious workers. While those on zero-hour contracts or in the gig economy draw the most headlines, there are many in steady, permanent jobs who are only managing to scrape by - these workers are the ‘chronically precarious’. https://buff.ly/2FaxpBq pic.twitter.com/U3U1aEJw1E"
30-Mar,Will Morin,"Our quarterly fundraising deadline is tomorrow. Please chip in a few dollars to help us spread our message of creating good jobs, addressing affordable housing, #SinglePayerHealthcare and a #100by50 clean energy economy. #scpol #SC4 #BlueWave2018https://willmor.in/2J7xloG"
30-Mar,Professor Ian Donald,it was clear that he had nowhere to go with his explanation. He started to say they didn’t cover Farage fish stunt. Then said it’s impt to cover because it’s a topic that concerns fishermen. Fishing is worth a tenth to Brit economy comp to Nissan. #Brexit brexit concerns us all.
30-Mar,Jeffrey Levin,A strong economy is necessary to bolster our national defense. pic.twitter.com/8eJkAtbsLo
30-Mar,#HandsOffSyria & #FreePalestine ☭,"Welp, I guess the British economy is just going to have to topple. But in all seriousness, Britain owes India (and its other former colonies) significant reparations, and I don’t care if it takes them the next 500 years to pay it all out. What’s owed is owed. https://twitter.com/vangovind/status/979770945828282368 …"
30-Mar,Jeremy Cliffe,"First impressions of Britain after a long spell without visiting: very rainy, very green, public transport almost hilariously basic, fields and roads small, great internet speeds, a high-tech & convenient consumer economy, so many more houses than blocks of flats."
30-Mar,Adam Tooze,Stagnation in manufacturing real hourly wages relative to much of the rest of the US economy is striking. https://www.mckinsey.com/~/media/McKinsey/Global%20Themes/Americas/Making%20it%20in%20America%20Revitalizing%20US%20manufacturing/Making-it-in-America-Revitalizing-US-manufacturing-Full-report.ashx …pic.twitter.com/ouZF1ZZAx8
30-Mar,__𝕒𝕟,friendly reminder that the British economy would topple if they ever paid India back for the resources/labor they drained during colonial rule
30-Mar,Harvard Biz Review,"Check out HBR’s March-April issue: Better brainstorming, HR goes agile, how to thrive in the gig economy, and much more. pic.twitter.com/t7981byU3j"
30-Mar,Ed Markey,"Fuel economy emissions standards are the single greatest action the U.S. has taken to fight #climatechange. Rolling them back shows @EPAScottPruitt and the Trump admin's determination to put #BigOil above consumers, national security and our planet.https://www.nytimes.com/2018/03/29/climate/epa-cafe-auto-pollution-rollback.html …"
30-Mar,FairTax® Official,FairTax Friday - The Sell-Out of America: Failed Stewardship of National Wealth | http://FAIRtax.org http://fairtax.org/articles/fairtax-friday-the-sell-out-of-america-failed-stewardship-of-national-wealth … @realDonaldTrump @Mike_Pence please read why our economy tanked before 2017. #FAIRtax Friday thank you Ben Mathes.
30-Mar,Voice of Reason,The anti-semitism row engulfing Labour is damaging. Good. Anything that weakens Labour & reduces the chances of it ever gaining power again to wreck our economy is good news. The damage done by Labour to the fabric of our nation is horrendous. https://www.telegraph.co.uk/politics/2018/03/29/labour-quietly-reinstated-six-councillors-posted-anti-semitic/ …
30-Mar,Arkansas Fred,85 year olds working fast food jobs to afford pills means the economy is good. https://twitter.com/guypbenson/status/979477491600457731?s=21 …
30-Mar,Mr Frank McVeety,"Canadian economy shrinks in January, oil and gas sector has biggest drop since 2016 but goverment keep blowing smoke and mirrors and we are looking great with economy Lies and more Lies. https://globalnews.ca/news/4112966/canada-economy-january-drops-oil/?utm_source=770Calgary&utm_medium=Facebook …"
30-Mar,MѕTяιαl,"He reaped destruction in America’s culture, it’s constitution, and did it in every single sector of our economy, administering one punch after another, inflicting so much damage that I questioned if we’d ever be able to recover."
30-Mar,Roger Chen,"We’re hiring! Pioneer new Internet protocols Create a new data economy Unlock data for AI If that checks your boxes, get in touch! https://twitter.com/computablelabs/status/979766373067866112 …"
30-Mar,Sierra Club,"Help STOP the proposal in Wyoming that could kill 24 grizzlies for a trophy hunt as soon as the first day of fall. Tell @GovMattMead the state needs to focus on long-term recovery, coexistence value our outdoor economy. #NoGrizHunt #WhatsWrongwithWYhttps://sc.org/2Idzgqg"
30-Mar,Rep. Betty McCollum,Fuel economy standards are critical to improving air quality & preventing climate change. Now @EPAScottPruitt wants to roll back these standards to pad the pockets of corporate special interests. That’s wrong — and hurts Americans families.https://twitter.com/nytimes/status/979472994455126022 …
30-Mar,Ryan Craig,Why Practical Skills Will Matter More Than Your Degree In The New Economy https://www.fastcompany.com/40551970/why-practical-skills-matter-more-than-your-degree-in-the-new-economy …
30-Mar,Nandini,In which country do TV channels go visiting a criminal in jail & have him lecture their elected PM ? In which country do anchors seek out an ex FM under investigation for humongous corruption to give them homilies on the economy ? #INSULTINGhttps://twitter.com/indiatoday/status/979273443613921280 …
30-Mar,Ken Jones,Liberals like Hogg want guns for themselves but NOT Patriots! Make FBI False Flag DEATHS Globalists want ALL the power.. Guess what! #2A applies to ALL @POTUS: #MAGA Kim Jung Un NoKo #Economy #BuildTheWall #QAnon https://youtu.be/7UFIR6ox6Xo
30-Mar,Food First,"Really great, in-depth article analyzing the political-economy of the relationship between food and #gentrification.http://www.cunyurbanfoodpolicy.org/news/2018/3/27/feeding-or-starving-gentrification-the-role-of-food-policy …"
30-Mar,REZA,SA PRESIDENT FLIES ECONOMY CLASS : HATS OFF MR. PRESIDENT. pic.twitter.com/fOlEANSxnC
30-Mar,marissa,"animals are part of the environment, they shouldn’t be part of the economy."
30-Mar,Will Westcott,"The majority of whites want: 1) better wages 2) economic protection & a social safety net 3) no more immigrants. The majority of Jews want: 1) open borders 2) diversity 3) status quo economics In the West, which interest do you see being served?"
30-Mar,Emma Caterine 🌹 ⚖️ 💸; Emma Caterine,"Stop advocating for reproductive access like ""Increasing birth control will decrease abortion by x%"" The Right does enough framing of abortion as an evil we need to get rid of; we should always be framing it like ""Increasing birth control will increase women's economic outcomes."""
30-Mar,Lara Friedman,
30-Mar,Yusuf,"Russiagate must end. Russiagate propagandists must be blacklisted, as was once done to those suspected of Communism. US military occupation of other countries must end. Acceptance of US empire and the death and economic exploitation resulting from it must end. US empire must end."
30-Mar,Eric Bolling,Many on both sides of the political and cultural divide in America are asking me about recent boycotts. @netflix @Newsweek @IngrahamAngle Et al For the record...I’ve ALWAYS disavowed boycotts They: -Restrict free speech -Lean toward economic terrorism -Are anti-American
30-Mar,Bill Tufts,"Marx Theory Promoted destroying the middle class through destruction of the family unit Destroy the middle class and the economic system is destroyed, which will destroy the country ... Post nationalism Destruction of Family Property Religion Nation Socialism Rules"
30-Mar,PinkAboutIt 🇺🇸,"While Trump's economic policies are encouraging growth & prosperity... Hillary continues her own excuse tour of ""what happened"" at Rutgers, saying "" no one tells a man to go away"" Which is weird because I remember people ask men like Romney, McCain and Flake to go away daily"
30-Mar,Doug Bell,"The gradual demise of the US dollar, as the world's base currency, will slowly erode Washington's ability to conduct economic warfare. This marks a grave setback for America's quest of global hegemony."
30-Mar,Joseph,"The value of a coin is a function of amount of entrepreneurial opportunity it provides it's network participants. It's about giving anyone, anywhere the ability to create wealth for themselves free of artificial barriers to entry. ""Hodl"" = bad. Economic activity = good"
30-Mar,Greg Abbott,More great economic news in Texas. The Greater Waco Economic Index hit a new record high. I believe the best is yet to come for Waco. #txlege #economy #jobshttp://www.wacotrib.com/news/business/greater_waco_economic_index/home-construction-sales-spur-waco-economic-index-to-record-high/article_499f8c1e-29a8-5848-9395-f480b5a65c25.html …
30-Mar,Tejasveni Insa(D$$),"Girls and women also need to have economic security if they are to live safe, healthy and empowered lives @Gurmeetramrahim @derasachasauda #SaintMSG_Initiative61 #सही_दिशा"
30-Mar,Libertarianism.org,"""Sweden’s biggest social and economic successes took place when Sweden had a laissez-faire economy, and widely distributed wealth preceded the welfare state."" http://bit.ly/2FBTjlz"
30-Mar,Ryan : - ) ALL.,"[A relevant analogy to me would be arguing that, say, economic success by a venture capitalist PoC proves that venture capitalism can be a useful tool for equity, which seems absurd.]"
30-Mar,Tejasveni Insa(D$$),Addressing child marriage and supporting the needs of married girls requires us to consider the economic and structural drivers which act as a barrier to ending child marriage @Gurmeetramrahim @derasachasauda #SaintMSG_Initiative61 #सही_दिशाpic.twitter.com/WFkryNXOOj
30-Mar,The Point Magazine,"From our latest issue, @ebruenig takes historical cues from Augustine and explores how ""a genuinely Christian economic ethic could form in the 21st century"". http://bit.ly/2IX90BP pic.twitter.com/PUKCxUbOuO"
30-Mar,🌸 ♥️ Thorne 🏴 🔑,"neolibs: leftists are too idealistic also neolibs: maybe if I say ""with liberty and justice for all"" enough times while wanking it to the flag, our country won't be a puppet for corporations and have huge issues with economic and social justice"
30-Mar,Oluwaseyi Adeoshun,Do you know that people only use foul language in an argument when they are trying to cover up something. We want economic growth not lies.
30-Mar,McKinsey & Company,"According to McKinsey’s newest survey on #economic #conditions, developed economies report a much more guarded outlook on their own #economies, the world economy as a whole, and their #trade prospects, relative to their peers in #emerging economies. http://bit.ly/2Ja9u7M pic.twitter.com/M8ae7v6azf"
30-Mar,The Economist,Mr Trump's bluster cannot change basic economic logic https://econ.st/2uuDyrl pic.twitter.com/ocRxMjyjse
30-Mar,Neal Katyal,"Cities of Chicago, New York, LA, Phil., and others + US Conference of Mayors (nonpartisan org representing 1400 large cities) tell Supreme Ct travel ban ""discriminates...and will significantly undermine the safety, economic well-being, and social cohesion"" https://www.supremecourt.gov/DocketPDF/17/17-965/41850/20180330172210142_ChicagoLosAngelesNewYorkPhiladelphiaAndOtherCities.pdf …https://twitter.com/neal_katyal/status/979534703186272256 …"
30-Mar,Maggie Atlas,if only the people could take the govts to court those who colluded with vested interest who've sold the collective wealth of the people 2 Parasites who minimize tax&exploit&Still demand more =impoverished govt coffers compromise economic independence&sovereignty @Bowenchris
30-Mar,City of Jackson,"“Examining Economic Justice 50 Years Later.” When: April 4, 2018 | 7 p.m. | Thaila Mara Hall Unable to make it? Use the hashtag #fiftyyearslater on social media to join the conversation!pic.twitter.com/bUYvVOdydS"
30-Mar,Freedom4Horses,"If you're not familiar with the public lands ranching program, please read up on it. It's has a huge economic and ecological cost for all Americans and our precious natural resources. --> http://wildlandsdefense.org/wld-issues/public-lands-ranching/ …"
30-Mar,Conservative Review,"""[U.S.] Taxpayers shell out some $600 million annually to the Palestinians through USAID (a State Department program), U.S. economic assistance, and U.S. contributions to the United Nations Palestinian refugee program."" - @JordanSchachtelhttps://www.conservativereview.com/articles/palestinians-double-terrorist-salaries-face-shutoff-deadline-us-aid/ …"
30-Mar,California Endowment,"A new study from the Census Bureau, @Stanford, & @Harvard proves what many of us already know: There are structural forces that prevent upward economic mobility & stability for Black men living in the United States. #RiseUpAsOne #BlackLivesMatter https://www.colorlines.com/articles/5-key-takeaways-new-report-wealth-black-men …pic.twitter.com/g8rq6hZ7Yl"
30-Mar,OkayAfrica,"#Okay100Women: Malebo Sephodi is a South African activist, researcher and author who believes in being a voice for and working directly with the community around her. Read more about how she addresses socio-economic issues and human rights through her work http://bit.ly/2GH9hKB pic.twitter.com/2AYdEZym4i"
30-Mar,Phelim Kine 林海,"Despicable: #China praises #Duterte 's murderous drug war for creating a ""sound environment for #Philippines' economic development"" http://bit.ly/2uA9tGU Slaughtering the poor as an economic growth strategy? https://www.hrw.org/news/2018/01/18/philippines-dutertes-drug-war-claims-12000-lives …"
30-Mar,Steve Stewart-Williams,"""High-earning women (doctors, lawyers) tend to pair up with their economic equals, while middle- and lower-tier women often marry up. In other words, female CEOs tend to marry other CEOs; male CEOs are OK marrying their secretaries."" HT @YeyoZahttps://www.bloomberg.com/graphics/2016-who-marries-whom/ …"
30-Mar,Margaret Thatcher,There can be no liberty unless there is economic liberty. pic.twitter.com/YXVcAz0r1Z
30-Mar,Mike Wilson,Economy writer @JillCowan has launched a series called the Economic Arms Race and you need to check it out if you want to understand how tax incentives are driving corporate relocations in the state. https://www.dallasnews.com/business/economy/2018/03/29/playing-incentives-game-texas-economic-development-wars-zero-sum-deal …
30-Mar,Conor Arpwel 🌹,standardized tests are inherently ableist and are pervasively weaponized to reinforce economic stratification under capitalism
30-Mar,The Truth,Important distinction: early American socialist saw industry consolidation as the first step towards state controlled monopolies. Anti-trust movement sought to promote individual freedom through economic competition and dispersing of power. https://twitter.com/matthewstoller/status/979823933737316352 …
30-Mar,محمد فهد الحارثي,"#NewYork Lights up in Green: Our ‘Champion of Change’ stands tall in the heart of #NYC’s iconic Times Square. A tribute we, at http://AboutHer.com , dedicate to his notable efforts in driving #Saudi Arabia’s economic transformation & increased modernization. #CrownPrinceInUSApic.twitter.com/Z8T9l20dUG"
30-Mar,Matthew Yglesias,"If Charles Murray wrote a book on the perilous dysgenic consequences of Trump’s efforts to bolster Coal Country’s economic fortunes, I’m skeptical that it would be well-received by conservatives."
30-Mar,Heather McDougall,They aren't simply 'Economic Illiterates'. .. They also try to BUY VOTES. .. By promising students to wipe out THEIR debt - by dumping it on ME. .. LABOUR are a A bunch of bloody charlatans. https://twitter.com/arthurlawrence5/status/979831654658330625 …
30-Mar,HumanProgress.org,The cost of Africa’s refusal to grow GMO crops are incredible in human health and economic terms. https://buff.ly/2pQPcXS
30-Mar,David Atchison,"People have been using the ""economic anxiety"" argument to ignore racial animus as a driving force in American history since forever. Back when we were in school, they used this old chestnut to justify poor southern whites fighting for the Confederacy in the Civil War."
30-Mar,Minister of Interior,"Minister of Interior Prof. Ahsan Iqbal met with H.E General Mr. Anupong Paochinda, Minister of Interior, Kingdom of Thailand - Social, Political, Economic & Security issues of common interest came under discussion! pic.twitter.com/1THOPsUxqM"
30-Mar,Michael Krieger,"""The corporate oligarchs, lacking a valid response to the discrediting of their policies of economic pillage and endless war, have turned to the blunt instrument of censorship and to a new version of red baiting. They do not intend to institute reforms or restore an open society"""
